0.02,0.0001,0,0.0001,0,0,0,3.8412
0.02,0.0006,0,0.0006,0.025,1.25,1.25,3.8425
0.02,0.0019,0.0001,0.0019,0.0612,1.7066,1.7066,3.8464
0.02,0.0039,0.0003,0.0039,0.102,2.0838,2.0838,3.8535
0.02,0.0067,0.0005,0.0067,0.1414,1.9905,1.9905,3.8638
0.02,0.0103,0.0007,0.0103,0.181,1.9967,1.9967,3.8776
0.02,0.0146,0.001,0.0147,0.2207,1.9989,1.9989,3.8948
0.02,0.0198,0.0013,0.0198,0.2604,2,2,3.9156
0.02,0.0258,0.0018,0.0259,0.3004,1.9852,1.9852,3.9401
0.02,0.0325,0.0022,0.0326,0.3403,2.0185,2.0185,3.9681
0.02,0.0401,0.0028,0.0402,0.3801,1.9887,1.9887,3.9998
0.02,0.0485,0.0033,0.0486,0.4201,2.0038,2.0038,4.0352
0.02,0.0577,0.004,0.0578,0.4601,1.9933,1.9933,4.0746
0.02,0.0677,0.0047,0.0678,0.5001,2.005,2.005,4.1179
0.02,0.0785,0.0055,0.0786,0.5401,1.996,1.996,4.1652
0.02,0.09,0.0064,0.0902,0.5801,2.0057,2.0057,4.2165
0.02,0.1024,0.0073,0.1027,0.6201,1.9903,1.9903,4.2722
0.02,0.1156,0.0083,0.1159,0.6602,2.007,2.007,4.3323
0.02,0.1295,0.0094,0.1299,0.7002,1.9999,1.9999,4.3966
0.02,0.1443,0.0105,0.1446,0.7401,2.0007,2.0007,4.4656
0.02,0.1598,0.0117,0.1602,0.78,2.0015,2.0015,4.5392
0.02,0.1761,0.0131,0.1766,0.82,1.9965,1.9965,4.6178
0.02,0.1933,0.0145,0.1938,0.86,1.9979,1.9979,4.7018
0.02,0.2112,0.016,0.2118,0.9,2.0041,2.0041,4.791
0.02,0.23,0.0176,0.2307,0.9401,1.9948,1.9948,4.8859
0.02,0.2495,0.0193,0.2502,0.9801,2.0056,2.0056,4.9865
0.02,0.2698,0.0211,0.2706,1.02,1.9971,1.9971,5.0931
0.02,0.2909,0.023,0.2918,1.06,2.0026,2.0026,5.206
0.02,0.3128,0.0251,0.3138,1.1,1.9953,1.9953,5.3257
0.02,0.3355,0.0272,0.3366,1.14,2.0045,2.0045,5.4523
0.02,0.359,0.0295,0.3602,1.18,1.9976,1.9976,5.5862
0.02,0.3833,0.032,0.3846,1.22,1.999,1.999,5.728
0.02,0.4084,0.0345,0.4099,1.2601,2.0002,2.0002,5.878
0.02,0.4342,0.0373,0.4358,1.3001,2.0013,2.0013,6.0365
0.02,0.4609,0.0402,0.4627,1.3401,1.9992,1.9992,6.2041
0.02,0.4883,0.0432,0.4903,1.3801,2.0004,2.0004,6.3814
0.02,0.5165,0.0465,0.5186,1.42,2.0016,2.0016,6.5687
0.02,0.5455,0.0499,0.5478,1.46,1.9971,1.9971,6.7671
0.02,0.5753,0.0536,0.5778,1.5,2.0014,2.0014,6.9772
0.02,0.6058,0.0574,0.6086,1.54,2,2,7.1995
0.02,0.6372,0.0615,0.6402,1.58,1.9989,1.9989,7.4351
0.02,0.6693,0.0658,0.6726,1.62,2.0004,2.0004,7.6849
0.02,0.7022,0.0704,0.7058,1.66,1.9996,1.9996,7.9499
0.02,0.7358,0.0753,0.7398,1.7,2.0011,2.0011,8.2311
0.02,0.7702,0.0805,0.7746,1.74,1.9983,1.9983,8.5297
0.02,0.8054,0.0859,0.8102,1.78,2.0021,2.0021,8.847
0.02,0.8413,0.0918,0.8466,1.82,1.9978,1.9978,9.1846
0.02,0.878,0.0979,0.8838,1.86,2.0016,2.0016,9.5441
0.02,0.9155,0.1045,0.9218,1.9,1.9978,1.9978,9.9272
0.02,0.9536,0.1114,0.9606,1.94,2.0016,2.0016,10.336
0.02,0.9925,0.1188,1.0002,1.98,2,2,10.7719
0.02,1.0317,0.1266,1.0402,1.9999,0.9988,0.9988,11.2353
0.02,1.0709,0.1347,1.0802,1.9999,0,0,11.7235
0.02,1.11,0.1432,1.1202,1.9999,0,0,12.2354
0.02,1.149,0.1521,1.1602,1.9999,0,0,12.7722
0.02,1.1879,0.1613,1.2002,1.9999,0,0,13.3351
0.02,1.2268,0.1709,1.2402,1.9999,0,0,13.9254
0.02,1.2655,0.181,1.2802,1.9999,0,0,14.5443
0.02,1.3041,0.1915,1.3202,1.9999,0,0,15.1927
0.02,1.3425,0.2024,1.3602,1.9999,0,0,15.8722
0.02,1.3809,0.2138,1.4002,1.9999,0.0001,0.0001,16.5836
0.02,1.4191,0.2257,1.4402,1.9999,0.0001,0.0001,17.3276
0.02,1.4571,0.2382,1.4802,1.9999,0.0001,0.0001,18.1045
0.02,1.4949,0.2511,1.5202,1.9999,0.0001,0.0001,18.9138
0.02,1.5326,0.2646,1.5602,1.9999,0.0001,0.0001,19.7556
0.02,1.57,0.2787,1.6002,1.9999,0.0001,0.0001,20.6296
0.02,1.6072,0.2934,1.6402,1.9999,0.0001,0.0001,21.5332
0.02,1.6442,0.3087,1.6802,1.9999,0.0001,0.0001,22.4634
0.02,1.6809,0.3246,1.7202,2,0.0001,0.0001,23.4173
0.02,1.7173,0.3411,1.7601,2,0.0001,0.0001,24.3895
0.02,1.7534,0.3582,1.8002,2,0.0001,0.0001,25.3744
0.02,1.7893,0.376,1.8402,2,0.0002,0.0002,26.3654
0.02,1.8248,0.3944,1.8802,2,0.0002,0.0002,27.3531
0.02,1.86,0.4134,1.9202,2,0.0002,0.0002,28.3279
0.02,1.8949,0.4329,1.9602,2,0.0002,0.0002,29.2797
0.02,1.9295,0.4531,2.0002,2,0.0002,0.0002,30.1966
0.02,1.9637,0.4737,2.0401,2,0.0002,0.0002,31.0664
0.02,1.9977,0.4948,2.0802,2,0.0002,0.0002,31.878
0.02,2.0314,0.5164,2.1202,2,0.0002,0.0002,32.62
0.02,2.0648,0.5383,2.1602,2,0.0002,0.0002,33.2814
0.02,2.0981,0.5606,2.2002,2,0.0002,0.0002,33.8534
0.02,2.1311,0.5832,2.2401,2,0.0002,0.0002,34.3287
0.02,2.164,0.606,2.2802,2,0.0002,0.0002,34.7022
0.02,2.1968,0.6289,2.3202,2,0.0002,0.0002,34.9709
0.02,2.2295,0.6519,2.3601,2,0.0002,0.0002,35.1339
0.02,2.2621,0.6749,2.4001,2,0.0002,0.0002,35.193
0.02,2.2949,0.698,2.4401,2,0.0002,0.0002,35.1518
0.02,2.3276,0.7209,2.4802,2,0.0002,0.0002,35.0154
0.02,2.3605,0.7437,2.5201,2,0.0002,0.0002,34.7907
0.02,2.3934,0.7664,2.5601,2,0.0002,0.0002,34.4855
0.02,2.4266,0.7888,2.6002,2,0.0002,0.0002,34.1083
0.02,2.4598,0.811,2.6401,2,0.0001,0.0001,33.6683
0.02,2.4933,0.8329,2.6801,2,0.0001,0.0001,33.1744
0.02,2.527,0.8545,2.7201,2,0.0001,0.0001,32.6354
0.02,2.5609,0.8757,2.7602,2,0.0001,0.0001,32.0597
0.02,2.5951,0.8966,2.8002,2,0.0001,0.0001,31.4553
0.02,2.6294,0.9171,2.8402,2,0.0001,0.0001,30.8298
0.02,2.664,0.9372,2.8802,2,0.0001,0.0001,30.1895
0.02,2.6988,0.9569,2.9202,2,0.0001,0.0001,29.5401
0.02,2.7338,0.9762,2.9601,2.0001,0.0001,0.0001,28.8871
0.02,2.769,0.9951,3.0002,2.0001,0.0001,0.0001,28.2342
0.02,2.8045,1.0137,3.0402,2.0001,0.0001,0.0001,27.5853
0.02,2.8401,1.0318,3.0802,2.0001,0.0001,0.0001,26.9436
0.02,2.876,1.0495,3.1202,2.0001,0.0001,0.0001,26.3111
0.02,2.9121,1.0669,3.1602,2.0001,0.0001,0.0001,25.6901
0.02,2.9483,1.0838,3.2002,2.0001,0.0001,0.0001,25.0825
0.02,2.9846,1.1004,3.2402,2.0001,0,0,24.4895
0.02,3.0212,1.1166,3.2802,2.0001,0,0,23.9115
0.02,3.058,1.1325,3.3202,2.0001,0,0,23.3486
0.02,3.0948,1.148,3.3602,2.0001,0,0,22.802
0.02,3.1319,1.1631,3.4002,2.0001,0,0,22.2718
0.02,3.169,1.178,3.4402,2.0001,0,0,21.7576
0.02,3.2063,1.1925,3.4802,2.0001,0,0,21.2597
0.02,3.2437,1.2067,3.5202,2.0001,0,0,20.7778
0.02,3.2812,1.2205,3.5602,2.0001,0,0,20.3113
0.02,3.3188,1.2341,3.6002,2.0001,0,0,19.86
0.02,3.3566,1.2474,3.6402,2.0001,0,0,19.4236
0.02,3.3944,1.2605,3.6802,2.0001,0,0,19.0015
0.02,3.4323,1.2732,3.7202,2.0001,0,0,18.5937
0.02,3.4703,1.2857,3.7602,2.0001,0,0,18.1991
0.02,3.5084,1.298,3.8002,2.0001,0,0,17.8173
0.02,3.5465,1.3099,3.8402,2.0001,0,0,17.4483
0.02,3.5847,1.3217,3.8802,2.0001,0,0,17.0916
0.02,3.623,1.3332,3.9202,2.0001,0,0,16.7463
0.02,3.6614,1.3445,3.9602,2.0001,0,0,16.4121
0.02,3.6999,1.3556,4.0003,2.0001,0,0,16.0885
0.02,3.7384,1.3665,4.0403,2.0001,0,0,15.7752
0.02,3.7769,1.3772,4.0803,2.0001,0,0,15.472
0.02,3.8155,1.3876,4.1202,2.0001,0,0,15.1784
0.02,3.8542,1.3979,4.1603,2.0001,0,0,14.8937
0.02,3.8929,1.408,4.2002,2.0001,0,0,14.6179
0.02,3.9316,1.4179,4.2402,2.0001,0,0,14.3505
0.02,3.9704,1.4277,4.2803,2.0001,0,0,14.091
0.02,4.0093,1.4372,4.3203,2.0001,0,0,13.839
0.02,4.0481,1.4466,4.3602,2.0001,0,0,13.5947
0.02,4.087,1.4559,4.4002,2.0001,0,0,13.3576
0.02,4.126,1.4649,4.4402,2.0001,0,0,13.1272
0.02,4.165,1.4739,4.4803,2.0001,0,0,12.9032
0.02,4.204,1.4827,4.5202,2.0001,0,0,12.6855
0.02,4.243,1.4913,4.5602,2.0001,0,0,12.474
0.02,4.2822,1.4998,4.6002,2.0001,0,0,12.2681
0.02,4.3213,1.5082,4.6403,2.0001,0,0,12.0676
0.02,4.3604,1.5164,4.6803,2.0001,0,0,11.8727
0.02,4.3996,1.5245,4.7202,2.0001,0,0,11.6831
0.02,4.4388,1.5325,4.7603,2.0001,0,0,11.4983
0.02,4.478,1.5403,4.8003,2.0001,0,0,11.3182
0.02,4.5172,1.548,4.8402,2.0001,0,0,11.1429
0.02,4.5565,1.5557,4.8802,2.0001,0,0,10.9719
0.02,4.5958,1.5632,4.9203,2.0001,0,0,10.8051
0.02,4.6352,1.5706,4.9603,2.0001,0,0,10.6422
0.02,4.6745,1.5778,5.0003,2.0001,0,0,10.4834
0.02,4.7138,1.585,5.0402,2.0001,0,0,10.3287
0.02,4.7532,1.5921,5.0803,2.0001,0,0,10.1774
0.02,4.7926,1.599,5.1202,2.0001,0,0,10.0298
0.02,4.832,1.6059,5.1602,2.0001,0,0,9.8857
0.02,4.8715,1.6127,5.2003,2.0001,0,0,9.7446
0.02,4.9108,1.6193,5.2402,2.0001,0,0,9.6068
0.02,4.9504,1.6259,5.2803,2.0001,0,0,9.4722
0.02,4.9898,1.6324,5.3203,2.0001,0,0,9.3404
0.02,5.0292,1.6388,5.3602,2.0001,0,0,9.2117
0.02,5.0688,1.6451,5.4003,2.0001,0,0,9.0857
0.02,5.1083,1.6514,5.4403,2.0001,0,0,8.9624
0.02,5.1478,1.6575,5.4803,2.0001,0,0,8.8418
0.02,5.1873,1.6636,5.5202,2.0001,0,0,8.7237
0.02,5.2269,1.6696,5.5603,2.0001,0,0,8.6078
0.02,5.2665,1.6755,5.6003,2.0001,0,0,8.4944
0.02,5.3061,1.6813,5.6404,2.0001,0,0,8.3833
0.02,5.3456,1.6871,5.6803,2.0001,0,0,8.2746
0.02,5.3852,1.6928,5.7203,2.0001,0,0,8.1681
0.02,5.4248,1.6984,5.7603,2.0001,0,0,8.0634
0.02,5.4645,1.7039,5.8004,2.0001,0,0,7.9607
0.02,5.5041,1.7094,5.8403,2.0001,0,0,7.8602
0.02,5.5437,1.7148,5.8804,2.0001,0,0,7.7615
0.02,5.5833,1.7201,5.9203,2.0001,0,0,7.6648
0.02,5.623,1.7254,5.9603,2.0001,0,0,7.5698
0.02,5.6626,1.7306,6.0003,2.0001,0,0,7.4767
0.02,5.7024,1.7357,6.0404,2.0001,0,0,7.3851
0.02,5.742,1.7408,6.0804,2.0001,0,0,7.2951
0.02,5.7816,1.7458,6.1203,2.0001,0,0,7.207
0.02,5.8214,1.7508,6.1603,2.0001,0,0,7.1204
0.02,5.861,1.7557,6.2002,1.9997,-0.02,-0.02,7.0352
0.02,5.9002,1.7605,6.2397,1.9744,-1.2622,-1.2622,6.9521
0.02,5.9387,1.7651,6.2785,1.9344,-1.999,-1.999,6.8716
0.02,5.9763,1.7696,6.3164,1.8943,-1.9995,-1.9995,6.7941
0.02,6.0131,1.7739,6.3534,1.8543,-2.0043,-2.0043,6.7195
0.02,6.0492,1.7781,6.3898,1.8143,-1.9966,-1.9966,6.6476
0.02,6.0844,1.7822,6.4253,1.7743,-2.0013,-2.0013,6.5783
0.02,6.1188,1.7861,6.4599,1.7343,-2.002,-2.002,6.5117
0.02,6.1525,1.7899,6.4938,1.6944,-1.998,-1.998,6.4475
0.02,6.1854,1.7936,6.5269,1.6543,-1.9984,-1.9984,6.3855
0.02,6.2175,1.7972,6.5592,1.6143,-2.0038,-2.0038,6.3259
0.02,6.2489,1.8006,6.5908,1.5743,-1.9943,-1.9943,6.2684
0.02,6.2794,1.8039,6.6214,1.5342,-2.005,-2.005,6.213
0.02,6.3091,1.8071,6.6513,1.4942,-2.0005,-2.0005,6.1599
0.02,6.3379,1.8102,6.6803,1.4543,-2.001,-2.001,6.1088
0.02,6.3661,1.8132,6.7087,1.4143,-1.9957,-1.9957,6.0595
0.02,6.3935,1.8161,6.7362,1.3742,-2.0018,-2.0018,6.0121
0.02,6.42,1.8189,6.7628,1.3343,-2.0025,-2.0025,5.9667
0.02,6.4457,1.8215,6.7887,1.2943,-1.9967,-1.9967,5.923
0.02,6.4707,1.8241,6.8138,1.2543,-2.0036,-2.0036,5.8811
0.02,6.4948,1.8266,6.8381,1.2143,-1.9975,-1.9975,5.8408
0.02,6.5183,1.829,6.8616,1.1742,-1.9976,-1.9976,5.8022
0.02,6.5408,1.8312,6.8843,1.1342,-2.0054,-2.0054,5.7652
0.02,6.5626,1.8334,6.9061,1.0942,-1.9986,-1.9986,5.7299
0.02,6.5836,1.8355,6.9272,1.0542,-1.9988,-1.9988,5.696
0.02,6.6038,1.8375,6.9476,1.0142,-1.9991,-1.9991,5.6637
0.02,6.6232,1.8394,6.9671,0.9741,-1.9994,-1.9994,5.6328
0.02,6.6417,1.8412,6.9857,0.9341,-2.0093,-2.0093,5.6035
0.02,6.6595,1.843,7.0036,0.8942,-1.9913,-1.9913,5.5756
0.02,6.6766,1.8446,7.0207,0.8541,-2.0007,-2.0007,5.5489
0.02,6.6928,1.8462,7.037,0.8141,-2.0012,-2.0012,5.5237
0.02,6.7082,1.8477,7.0524,0.7741,-2.0018,-2.0018,5.4999
0.02,6.7227,1.8491,7.0671,0.7342,-2.0026,-2.0026,5.4774
0.02,6.7366,1.8504,7.081,0.6941,-1.9906,-1.9906,5.4562
0.02,6.7497,1.8517,7.0942,0.6539,-2.0029,-2.0029,5.4362
0.02,6.7619,1.8528,7.1064,0.6139,-2.0039,-2.0039,5.4175
0.02,6.7733,1.8539,7.1179,0.574,-2.0052,-2.0052,5.4002
0.02,6.784,1.8549,7.1286,0.534,-1.9897,-1.9897,5.3841
0.02,6.7938,1.8558,7.1385,0.4939,-2.006,-2.006,5.3691
0.02,6.8027,1.8567,7.1475,0.4541,-2.0082,-2.0082,5.3554
0.02,6.811,1.8574,7.1558,0.4143,-1.9886,-1.9886,5.343
0.02,6.8186,1.8581,7.1634,0.3739,-1.9853,-1.9853,5.3315
0.02,6.8251,1.8587,7.1699,0.3339,-2.0368,-2.0368,5.3214
0.02,6.8311,1.8593,7.176,0.2937,-1.9565,-1.9565,5.3124
0.02,6.8361,1.8598,7.1809,0.2536,-2.0476,-2.0476,5.3045
0.02,6.8403,1.8602,7.1852,0.2141,-1.9843,-1.9843,5.2979
0.02,6.8439,1.8605,7.1887,0.1737,-1.9732,-1.9732,5.2924
0.02,6.8465,1.8607,7.1914,0.1332,-2.0221,-2.0221,5.2879
0.02,6.8485,1.8609,7.1934,0.0919,-1.9404,-1.9404,5.2846
0.02,6.8495,1.861,7.1944,0.0486,-1.9702,-1.9702,5.2825